Alkmaar,97,124
Amsterdam,121,160
Arnhem,204,204
Assen,235,93
Breda,127,250
Den Bosch,171,233
Den Helder,101,82
Eindhoven,180,265
Enschede,248,189
Groningen,235,63
Haarlem,95,157
Hilversum,134,174
Leeuwarden,192,66
Lelystad,162,136
Maastricht,186,332
Middelburg,48,252
Nijmegen,204,224
Roermond,215,286
Rotterdam,87,200
Sneek,182,86
The Hague,85,178
Tilburg,150,250
Utrecht,131,184
Venlo,218,266
Zwolle,210,143
